#OM_number;a;b;chi2_A;chi2_B;loss
316;140.737;-5.54008;0.456846;1.25761;12.2154
317;178.683;-6.48396;0.957827;0.462567;3.72665
318;257.922;11.249;1.5734;0.963544;6.3105
319;183.442;-1.50936;0.626761;1.11737;0.545412
320;201.545;-0.545567;1.25826;1.21564;0.361119
321;178.005;-3.43808;1.21923;1.4943;0.413278
322;188.44;15.5972;0.873879;1.10752;0.687904
323;147.771;24.2394;1.88091;1.18199;0.578462
326;174.662;-7.28073;1.08081;1.16609;0.210203
327;175.697;19.2847;1.44499;0.92152;0.217725
328;159.964;-2.53018;1.19175;1.1827;1.21346
329;160.54;2.92935;0.765049;1.05969;0.166852
330;180.585;6.26297;1.28404;1.38688;0.897614
331;228.974;-7.16978;1.7398;1.55224;1.92119
332;170.816;-6.77071;1.0286;1.51334;0.623187
333;204.213;-19.6354;0.961655;0.9408;0.901131
334;177.607;-7.99493;0.759147;1.35488;0.385767
335;193.058;9.34677;0.995588;0.9386;0.0402457
336;176.957;0.0882995;0.919412;0.631184;1.72492
339;217.302;-6.68379;0.820794;0.65997;1.58037
340;217.742;-7.38068;1.16521;0.873946;0.514257
341;165.348;21.5065;2.40401;0.689698;0.214548
342;169.217;4.64658;1.37885;0.752914;12.5129
343;181.47;10.6969;0.73693;0.655293;0.0582742
344;202.708;-1.98603;2.37197;0.651164;7.29503
345;176.105;31.3427;0.954876;0.939813;0.130108
346;201.184;-17.2069;0.649039;1.02016;0.468116
347;164.756;-21.2664;1.31645;0.717606;0.0953332
348;173.029;15.9291;1.35276;0.932901;0.864178
349;158.65;33.0146;0.787581;0.979351;13.1702
352;186.718;-1.10303;0.769989;1.55913;0.698169
353;193.107;-14.1634;0.463291;0.89599;4.51734
354;205.232;-14.4765;1.65466;1.06034;0.441347
355;160.938;30.671;1.43717;1.51855;0.807424
356;155.248;25.2437;0.739849;1.17951;0.250309
357;201.161;4.0751;1.65493;1.26087;0.765253
358;178.685;-24.4657;0.835573;1.18215;6.77793
359;199.798;-9.0477;0.630833;0.977772;0.868473
360;179.99;2.65332;0.968966;0.815016;0.649931
361;158.949;11.2265;1.04678;0.899786;0.637472
362;160.235;-0.931168;0.389642;1.07027;0.722976
365;189.193;8.76387;1.07501;0.929792;0.507261
366;191.7;0.560566;0.8535;0.674188;0.240912
367;192.585;-27.0542;0.995288;0.881155;1.33016
368;194.39;22.3159;0.704134;1.43265;0.736393
370;186.771;21.2335;0.687706;1.27542;0.946823
371;163.622;2.21034;0.877843;1.07752;0.666434
372;168.208;-2.05783;1.35409;0.946143;1.45177
373;211.984;6.46651;1.06124;1.03524;0.382878
374;193.64;-6.41549;1.0469;1.08451;0.869032
375;181.332;11.309;0.310026;1.34917;0.900491
378;172.164;9.16475;0.76952;1.06622;0.475836
379;202.239;8.4552;0.886901;1.37513;0.634908
380;183.411;-2.15508;0.836054;1.23424;0.185965
381;171.436;-2.98233;1.12719;0.919891;0.460637
382;164.893;0.510788;1.12944;1.34929;0.347491
383;194.417;-27.777;1.51894;0.759747;0.501987
384;161.38;-4.06679;1.5149;0.875132;0.565869
385;202.836;-9.34074;0.682754;1.26785;0.664269
386;203.039;-6.75001;2.20248;0.932438;0.643568
387;198.442;-34.202;1.01853;0.767961;0.594215
388;184.35;7.18369;0.899294;1.0363;0.755774
391;200.671;-20.8264;0.812939;0.686551;0.486403
392;188.693;0.121886;1.36102;0.799013;0.886107
393;189.634;1.1218;2.90596;1.01173;0.652522
394;156.265;0.284994;1.07706;1.20109;0.789948
395;182.811;-8.18052;1.82879;1.51781;0.18201
396;156.651;15.5783;1.43599;0.622655;0.870979
397;194.993;4.59623;1.05488;1.26261;6.69957
398;180.956;1.7767;1.01014;1.2079;0.557326
399;156.59;21.0467;1.56062;1.15478;0.195781
400;148.722;17.8632;0.660712;0.920563;0.342515
401;168.933;-4.80316;0.679662;1.03291;1.0262
404;170.757;11.8742;1.65984;0.979813;0.79423
405;191.066;-19.8731;0.975734;0.615522;0.872098
406;189.789;-34.0992;0.571901;1.03463;0.764699
407;168.002;-1.5976;0.641092;0.773453;0.800786
408;180.386;5.44557;1.44313;1.59035;0.810885
409;182.564;11.2926;0.5034;0.752949;0.442476
410;175.537;-26.4371;1.07714;1.054;0.0729039
411;191.885;-6.99421;1.57804;1.15985;2.37951
412;161.819;-13.9826;0.670586;0.653262;0.266454
413;166.355;-9.27308;0.668782;0.81972;0.79903
414;182.889;12.2751;1.23784;0.881193;0.921149
417;155.773;-4.01667;1.14754;0.708952;1.96877
418;161.101;2.0066;1.34839;0.854372;0.842205
419;145.355;-3.54899;2.35105;0.698162;0.954034
420;191.081;7.29336;0.777047;1.50435;0.369863
421;176.044;-16.4345;1.0512;0.737892;0.516179
422;161.133;13.9795;0.593317;1.03682;0.583352
423;158.84;4.9374;0.812204;0.606341;0.258394
424;173.588;9.2258;1.94792;0.864249;0.035136
425;139.841;-10.7976;0.976696;1.00032;14.0025
426;171.899;6.15764;1.04142;1.34399;0.149628
427;156.199;-4.54286;0.6692;0.980701;0.400025
430;191.866;-17.4514;1.05239;2.32644;0.0761664
431;155.586;23.5206;1.53054;0.891879;12.1409
432;154.688;-2.65931;1.2995;0.95628;0.187078
433;154.415;-1.13716;1.1622;1.24961;0.763728
434;170.513;2.95758;1.03525;0.896859;0.732804
435;170.661;-3.67069;0.49523;0.794001;0.436981
436;167.617;9.43433;0.921333;0.731667;0.733926
437;196.865;-18.3058;0.75027;0.791587;0.377174
438;189.322;-14.1817;1.65435;1.66377;0.819997
439;158.349;18.796;0.644716;0.431601;0.0260656
440;153.39;-27.5958;0.61953;1.07519;13.7259
443;192.486;-14.4329;0.544093;0.704157;0.84118
444;217.843;15.9056;1.62085;0.874499;1.28477
445;237.235;0.214481;0.944366;0.614827;0.138961
446;164.046;1.1803;1.32994;1.04944;5.71566
447;177.368;-0.993025;0.230388;0.874649;0.857669
448;184.334;-33.0155;1.90774;0.899791;3.34939
449;148.891;7.78084;1.02243;0.773596;1.0592
450;174.356;2.50373;0.69436;1.09557;0.965022
451;191.874;-7.10602;0.682675;1.20603;0.327678
452;166.801;-8.69314;1.35153;0.535546;1.67303
453;149.582;30.8096;1.52917;0.824671;0.414764
456;223.56;-3.38347;0.783807;0.924655;0.201239
457;194.58;-7.72673;1.25176;0.649934;0.819297
458;159.296;-10.6123;1.20524;1.25782;0.363748
459;174.023;5.54857;0.64697;0.807162;0.157114
460;154.199;4.84463;1.73653;1.03392;0.0969219
462;156.767;0.542879;1.04156;1.08135;0.111887
463;174.451;-18.613;0.85268;0.621874;0.165981
464;193.219;-25.9367;0.943074;1.15033;0.610451
465;138.735;1.93577;1.17625;0.748725;0.802183
466;150.965;18.9451;0.700417;1.02636;0.309413
469;171.814;21.5151;2.17615;0.806132;0.0429709
470;173.403;-11.3944;1.20014;0.937123;1.02075
471;184.635;-2.12804;1.76454;0.894327;0.973757
472;150.117;49.2134;1.60518;0.973688;6.71797
473;150.366;4.5585;0.952415;0.647911;0.32425
474;177.667;-8.57947;1.69749;0.951432;6.02667
475;184.181;12.7525;0.234817;0.75978;0.862419
476;182.315;-20.5737;1.00083;1.71437;0.733832
477;179.97;4.1334;0.97514;1.04989;0.852087
478;141.028;5.14727;1.07739;1.06053;4.27384
479;148.128;19.7604;0.959937;0.988295;16.453
482;182.083;-6.2651;0.609258;0.968532;0.109595
483;184.052;5.01518;0.733365;0.875241;0.714327
484;151.154;-15.9443;1.54111;1.34015;0.969747
485;144.926;-15.2509;1.54241;1.52174;0.45686
486;146.678;0.942809;1.08389;1.21466;1.93849
487;190.744;9.76777;1.51096;0.987447;0.0489323
488;183.945;3.49181;1.08399;1.48299;0.409793
489;169.725;-10.9447;0.434335;0.9134;0.328955
490;198.717;-5.83386;0.608869;1.08641;7.73561
491;164.3;-4.9494;1.76751;0.940391;2.25637
492;159.101;23.939;1.10599;1.01115;9.45464
